x,y,player,team,cluters
15.11515730042264,15.945915322646806,Shawn Marion,CLE,6
-5.138541193008361,-7.62863259749585,Jason Terry,HOU,3
-5.746173781871566,-20.896382634346324,Manu Ginobili,SAS,5
1.3288747840992434,10.150897036644864,Andrea Bargnani,NYK,4
-0.6609721019177404,14.99754622997312,LaMarcus Aldridge,POR,4
-6.694885760012735,-8.12895682806193,Randy Foye,DEN,3
-14.438429698579156,-24.0662994023218,Rudy Gay,SAC,5
-5.743906238284669,-2.5044426870675327,JJ Redick,LAC,3
8.512793244846614,8.22923522705692,Thabo Sefolosha,ATL,6
1.9859897334612155,5.504561309647409,Shawne Williams,MIA,4
2.4736806152652915,5.142127422387758,Shawne Williams,TOTAL,4
-11.935647370236973,-26.347151554672973,Rajon Rondo,DAL,5
-10.979230212268222,-28.12755120495659,Rajon Rondo,TOTAL,5
-7.068053329140284,-27.053362213356017,Kyle Lowry,TOR,5
2.097020738793413,-11.937564449046635,Jordan Farmar,LAC,1
17.753701561858197,16.89175088393824,Joel Freeland,POR,6
-1.4681684512480415,12.98593539619856,PJ Tucker,PHX,4
-1.7331065580519192,17.894738957643654,Paul Millsap,ATL,4
10.478245294481994,18.888399770756468,Lou Amundson,NYK,2
13.32251339573676,17.072849105205474,Lou Amundson,TOTAL,6
-0.6470651264777931,-20.94674131093857,Jose Juan Barea,DAL,1
1.278253240346415,1.6264347494251081,Kevin Durant,OKC,0
0.9629682002947219,20.040045641402003,Al Horford,ATL,2
-6.003785897917043,-22.456180569945484,Mike Conley,MEM,5
0.19918515515818358,2.107319818998903,Jeff Green,BOS,3
1.893063560248111,0.08639375631876334,Jeff Green,MEM,0
-8.086573988319225,4.03915515795795,Jeff Green,TOTAL,3
-1.4583380690246543,2.874788746074099,Corey Brewer,HOU,3
6.046783236945816,3.558228043171622,Corey Brewer,MIN,0
-10.038544752368285,3.868292595134196,Corey Brewer,TOTAL,3
14.54587263216854,11.09699923706808,Brandan Wright,DAL,6
11.3430285025896,23.626278907885485,Brandan Wright,PHX,2
14.868305259869288,23.428990234612986,Brandan Wright,TOTAL,2
1.6589318998522082,26.47195130349251,Joakim Noah,CHI,2
3.7783847759249656,9.98135302329928,Spencer Hawes,LAC,4
9.516208426269351,13.739632499587767,Thaddeus Young,BKN,6
