PLAYER_ID,TEAM_ABBREVIATION,defense_address_PLAYER,defense_address_GP,defense_address_MIN,defense_address_BLK,defense_address_STL,defense_address_FGM_DEFEND_RIM,defense_address_FGA_DEFEND_RIM,defense_address_FGP_DEFEND_RIM,defense_address_BLK_TOT,drives_address_DVS,drives_address_DPP,drives_address_DTP,drives_address_FG_PCT,drives_address_PTS_48,drives_address_DPP_TOT,drives_address_DVS_TOT,shooting_address_PTS,shooting_address_PTS_CLOSE,shooting_address_FGP_CLOSE,shooting_address_PTS_CATCH_SHOOT,shooting_address_FGP_CATCH_SHOOT,shooting_address_PTS_PULL_UP,shooting_address_FGP_PULL_UP,shooting_address_FGA_DRIVE,shooting_address_FGA_CLOSE,shooting_address_FGA_CATCH_SHOOT,shooting_address_FGA_PULL_UP,shooting_address_EFG_PCT,shooting_address_CFGM,passing_address_PASS,passing_address_AST,passing_address_AST_FT,passing_address_AST_SEC,passing_address_AST_POT,passing_address_PTS_CRT,passing_address_PTS_CRT_48,passing_address_AST_TOT,speed_address_DIST,speed_address_AV_SPD,speed_address_DIST_PG,speed_address_DIST_48,speed_address_DIST_OFF,speed_address_DIST_DEF,pullup_address_FGM,pullup_address_FG3M,pullup_address_FG3A,pullup_address_FG3_PCT,pullup_address_EFG_PCT,pullup_address_PTS_TOT,rebounding_address_REB,rebounding_address_REB_CHANCE,rebounding_address_REB_COL_PCT,rebounding_address_REB_CONTESTED,rebounding_address_REB_UNCONTESTED,rebounding_address_REB_UNCONTESTED_PCT,rebounding_address_REB_TOT,rebounding_address_OREB,rebounding_address_OREB_CHANCE,rebounding_address_OREB_COL_PCT,rebounding_address_OREB_CONTESTED,rebounding_address_OREB_UNCONTESTED,rebounding_address_OREB_UNCONTESTED_PCT,rebounding_address_DREB,rebounding_address_DREB_CHANCE,rebounding_address_DREB_COL_PCT,rebounding_address_DREB_CONTESTED,rebounding_address_DREB_UNCONTESTED,rebounding_address_DREB_UNCONTESTED_PCT,touches_address_TCH,touches_address_FC_TCH,touches_address_TOP,touches_address_CL_TCH,touches_address_EL_TCH,touches_address_PTS_TCH,touches_address_PTS_HCCT,touches_address_TCH_TOT,catchshoot_address_FGM,catchshoot_address_FG3M,catchshoot_address_FG3A,catchshoot_address_FG3_PCT,catchshoot_address_EFG_PCT,catchshoot_address_PTS_TOT
101141,MIL,Ersan Ilyasova,57.0,22.9,0.3,0.6,2.3,4.4,0.522,19.0,1.2,1.0,1.4,0.435,2.0,55.0,71.0,11.7,2.1,0.544,5.2,0.436,0.9,0.377,0.8,1.6,4.7,0.9,0.544,0.0,24.4,1.0,0.1,0.3,2.0,2.4,4.9,56.0,86.9,4.0,1.5,3.2,45.7,41.2,0.4,0.2,0.4,0.5,0.481,51.0,4.8,8.8,0.5489999999999999,2.0,2.8,0.413,275.0,1.4,2.8,0.509,1.1,0.3,0.802,3.4,6.0,0.5670000000000001,0.9,2.6,0.251,36.5,20.8,0.7,2.3,1.8,0.321,0.563,2081.0,2.0,1.1,2.9,0.387,0.555,295.0
101142,MIN,Ronny Turiaf,1.0,9.8,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,8.0,1.0,0.0,0.0,2.0,2.0,9.8,1.0,0.6,3.6,0.6,2.9,0.3,0.3,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,10.0,3.0,0.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,,0.0
101145,DAL,Monta Ellis,80.0,33.7,0.3,1.8,0.8,1.7,0.493,25.0,8.3,5.7,9.7,0.49,8.2,459.0,666.0,18.9,0.4,0.933,2.4,0.324,6.4,0.394,4.6,0.2,2.7,7.6,0.475,0.0,39.6,4.1,0.5,1.1,8.2,10.2,14.6,329.0,184.2,4.1,2.3,3.3,98.6,85.6,3.0,0.4,1.4,0.268,0.419,510.0,2.4,4.3,0.5479999999999999,0.6,1.8,0.23199999999999998,190.0,0.4,1.0,0.436,0.2,0.2,0.529,2.0,3.4,0.58,0.3,1.6,0.16699999999999998,62.8,52.2,3.4,0.3,2.2,0.301,0.362,5028.0,0.9,0.6,2.1,0.296,0.441,188.0
101150,TOR,Lou Williams,80.0,25.2,0.1,1.1,0.7,1.0,0.675,10.0,4.1,2.5,5.2,0.451,4.8,201.0,331.0,15.5,0.2,0.8,2.4,0.412,6.0,0.362,1.9,0.1,2.1,6.7,0.486,0.0,23.9,2.0,0.2,0.8,4.2,5.0,9.5,164.0,130.2,3.9,1.6,3.1,71.6,58.5,2.4,1.1,3.5,0.312,0.444,478.0,1.9,2.9,0.657,0.3,1.6,0.179,151.0,0.3,0.6,0.5329999999999999,0.1,0.2,0.45799999999999996,1.6,2.3,0.6859999999999999,0.2,1.4,0.126,40.7,36.0,2.7,0.3,0.3,0.381,0.431,3256.0,0.8,0.7,1.9,0.393,0.591,195.0
101161,TOR,Amir Johnson,75.0,26.4,0.8,0.6,3.4,6.6,0.523,59.0,0.9,0.9,1.2,0.571,1.6,64.0,68.0,9.3,3.2,0.633,1.0,0.441,0.0,0.0,0.6,2.4,0.9,0.1,0.592,0.0,33.6,1.6,0.2,0.5,2.8,3.5,6.3,117.0,133.3,4.0,1.8,3.2,70.1,63.2,0.0,0.0,0.0,0.0,0.0,0.0,6.1,12.1,0.502,3.0,3.1,0.49,456.0,2.1,4.7,0.457,1.5,0.6,0.7190000000000001,4.0,7.5,0.529,1.5,2.5,0.36700000000000005,43.4,23.8,0.9,3.4,2.5,0.213,0.388,3258.0,0.4,0.2,0.6,0.429,0.574,78.0
101162,WAS,Marcin Gortat,82.0,29.9,1.3,0.6,3.8,7.8,0.486,110.0,0.1,0.1,0.1,0.5,0.1,6.0,11.0,12.2,6.1,0.644,1.3,0.396,0.5,0.392,0.0,4.3,1.7,0.6,0.566,0.0,36.3,1.2,0.1,0.4,2.5,2.9,4.7,97.0,168.0,4.1,2.0,3.3,89.7,78.3,0.2,0.0,0.0,,0.392,40.0,8.7,14.2,0.616,3.0,5.7,0.342,717.0,2.2,4.3,0.511,1.6,0.6,0.722,6.5,9.9,0.6609999999999999,1.4,5.1,0.215,48.6,22.7,1.0,6.1,3.9,0.251,0.538,3983.0,0.7,0.0,0.0,0.0,0.396,110.0
101179,LAL,Ronnie Price,43.0,22.9,0.1,1.6,0.5,0.8,0.657,4.0,2.4,1.2,2.5,0.383,2.6,53.0,102.0,5.1,0.0,0.5,1.9,0.338,1.0,0.256,1.1,0.0,1.9,1.8,0.415,0.0,40.1,3.8,0.2,0.7,8.0,8.6,18.0,165.0,72.8,4.4,1.7,3.6,40.1,32.6,0.5,0.1,0.7,0.167,0.288,45.0,1.6,2.7,0.59,0.3,1.3,0.174,69.0,0.4,0.8,0.5429999999999999,0.1,0.3,0.263,1.2,1.9,0.61,0.2,1.0,0.14,48.4,42.8,3.7,0.4,0.3,0.106,0.12,2083.0,0.6,0.6,1.8,0.338,0.5,80.0
101181,NYK,Jose Calderon,41.0,30.0,0.0,0.7,0.7,1.0,0.628,0.0,2.0,0.5,2.2,0.368,0.8,21.0,81.0,9.0,0.2,0.625,4.1,0.389,2.9,0.391,0.5,0.2,4.0,3.4,0.494,0.0,60.6,4.6,0.3,1.1,9.3,10.4,16.6,189.0,87.5,4.3,2.1,3.4,50.7,36.7,1.3,0.3,0.5,0.524,0.431,119.0,3.0,4.0,0.747,0.4,2.5,0.14,121.0,0.5,0.7,0.655,0.1,0.4,0.21100000000000002,2.5,3.2,0.767,0.3,2.2,0.127,73.4,63.1,4.4,0.4,1.1,0.123,0.143,3011.0,1.5,1.0,2.8,0.381,0.522,169.0
101183,BOS,Shavlik Randolph,5.0,5.0,0.2,0.2,0.6,1.2,0.5,1.0,0.2,0.2,0.2,,1.9,1.0,1.0,1.4,0.4,0.25,0.0,,0.0,,0.0,0.8,0.0,0.0,0.3,0.0,5.6,0.2,0.0,0.0,0.8,0.6,5.8,1.0,1.6,3.9,0.3,3.1,0.9,0.7,0.0,0.0,0.0,,,0.0,2.4,3.6,0.667,1.4,1.0,0.583,12.0,0.8,2.0,0.4,0.6,0.2,0.75,1.6,1.6,1.0,0.8,0.8,0.5,8.2,4.8,0.2,1.2,0.6,0.171,0.292,41.0,0.0,0.0,0.0,,,0.0
101183,PHX,Shavlik Randolph,16.0,6.3,0.1,0.2,0.7,1.1,0.611,2.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,1.1,0.4,0.333,0.1,0.167,0.2,1.0,0.1,0.4,0.4,0.1,0.24,0.0,6.5,0.2,0.0,0.2,0.4,0.6,4.3,3.0,6.9,4.1,0.4,3.3,3.7,3.2,0.1,0.0,0.0,,1.0,4.0,1.6,3.5,0.46399999999999997,1.1,0.6,0.654,26.0,0.8,1.5,0.5,0.7,0.1,0.917,0.9,2.0,0.43799999999999994,0.4,0.5,0.429,8.6,4.9,0.2,0.9,0.6,0.124,0.218,137.0,0.1,0.0,0.2,0.0,0.167,2.0
